ACA60977.VFG044024_gb_ACA60977_.Clostridium_septicum_str._NH2	1	0	.	.	Original name: VFG044024(gb|ACA60977) (ACA60977) alpha-toxin [alpha-toxin (septicum) (VF0416)] [Clostridium septicum str. NH2]
BAS3109.VFG016216_gb_YP_029366_.Bacillus_anthracis_str._Sterne	1	0	.	.	Original name: VFG016216(gb|YP_029366) (BAS3109) thiol-activated cytolysin [ALO (VF0534)] [Bacillus anthracis str. Sterne]
BPSL2786.VFG002545_gb_YP_109381_.Burkholderia_pseudomallei_K96243	1	0	.	.	Original name: VFG002545(gb|YP_109381) (BPSL2786) acetyltransferase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
C2I.VFG002294_gb_BAA32536_.Clostridium_botulinum_C_str._203U28	1	0	.	.	Original name: VFG002294(gb|BAA32536) (C2I) C2 toxin (component-I) [C2 toxin (VF0384)] [Clostridium botulinum C str. 203U28]
C2II.VFG002295_gb_BAA32537_.Clostridium_botulinum_C_str._203U28	1	0	.	.	Original name: VFG002295(gb|BAA32537) (C2II) C2 toxin (component-II) [C2 toxin (VF0384)] [Clostridium botulinum C str. 203U28]
C3.VFG002296_gb_CAA41768_.Clostridium_botulinum_D_str._1873	1	0	.	.	Original name: VFG002296(gb|CAA41768) (C3) exoenzyme C3 [C3 toxin (VF0387)] [Clostridium botulinum D str. 1873]
CT274.VFG044457_gb_NP_219779_.Chlamydia_trachomatis_D_UW_3_CX	1	0	.	.	Original name: VFG044457(gb|NP_219779) (CT274) chaperone [T3SS (SS001)] [Chlamydia trachomatis D/UW-3/CX]
CT668.VFG002143_gb_NP_220187_.Chlamydia_trachomatis_D_UW_3_CX	1	0	.	.	Original name: VFG002143(gb|NP_220187) (CT668) putative TTSS related protein [TTSS (VF0344)] [Chlamydia trachomatis D/UW-3/CX]
CT847.VFG016998_gb_NP_220368_.Chlamydia_trachomatis_D_UW_3_CX	1	0	.	.	Original name: VFG016998(gb|NP_220368) (CT847) Type III secretion system effector  [T3SS (SS001)] [Chlamydia trachomatis D/UW-3/CX]
Cj1135.VFG001936_gb_NP_282283_.Campylobacter_jejuni_subsp._jejuni_NCTC_11168	1	0	.	.	Original name: VFG001936(gb|NP_282283) (Cj1135) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
Cj1136.VFG001937_gb_NP_282284_.Campylobacter_jejuni_subsp._jejuni_NCTC_11168	1	0	.	.	Original name: VFG001937(gb|NP_282284) (Cj1136) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
Cj1137c.VFG001938_gb_NP_282285_.Campylobacter_jejuni_subsp._jejuni_NCTC_11168	1	0	.	.	Original name: VFG001938(gb|NP_282285) (Cj1137c) glycosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
